zip,donations,total,population
21021,NA,105,NA
21022,NA,3757.27,NA
21023,NA,7414.900000000003,NA
21024,NA,140,NA
21025,NA,255,NA
21027,NA,300,NA
21028,297.81525488692984,21243.45,2609
21029,439.9895860453007,334097.21000000037,11523
21030,411.5187148062272,375350.1199999992,24152
21031,384.61538461538464,589.24,26
21032,646.3336329780403,231805.08,7787
21033,NA,1582,NA
21034,191.31529263687855,23530.29,3178
21035,745.640408899579,200449.85000000024,8315
21036,530.0936246098975,69995.87,2243
21037,448.14043721018265,376584.1499999987,21134
21039,NA,822,NA
21040,93.25565400331755,33320.56,24717
21041,NA,2730.9100000000003,NA
21042,674.9768721683231,1050627.5999999992,42157
21043,445.8895758016557,686790.2499999983,46747
21044,974.3774731641197,1337506.6200000034,45741
21045,761.4553582515833,803755.2300000013,40265
21046,720.2667179585818,309389.19999999896,15597
21047,208.48839971494178,69101.56999999999,12629
21048,213.29354871900404,66157.87999999996,9719
21049,NA,3,NA
21050,199.65258321192425,70752.11000000012,17846
21051,1995.6709956709958,25766.14,231
21052,89.3854748603352,551,179
21053,247.60689215060626,14091.339999999998,3134
21054,498.67487389929045,159548.24000000028,11697
21055,NA,500,NA
21056,294.2942942942943,38413,333
21057,599.6592844974447,65720.03000000001,4109
21059,NA,56,NA
21060,394.15795167688424,173872.13999999993,36049
21061,185.7324609233006,168692.45000000004,55020
21062,NA,856.5,NA
21064,NA,688,NA
21065,NA,100,NA
21067,NA,100,NA
21069,NA,126,NA
21071,632.1585903083701,8471.130000000001,454
21073,NA,20,NA
21074,199.7589231902498,55540.70000000002,14933
21075,257.13386187355104,224807.7100000003,34939
21076,353.9310191118293,235382.90000000017,17947
21077,361.7021276595745,1464.38,235
21078,411.87951680118164,212588.47000000055,18957
21079,NA,175,NA
21080,NA,20,NA
21082,754.9342105263158,13343.93,608
21083,NA,275,NA
21084,213.5593220338983,29954.660000000033,7670
21085,168.2191445030028,55980.65999999996,16318
21086,NA,87,NA
21087,120.6547728526761,20466.26,5437
2109,NA,105,NA
21090,198.97066392177047,50232.64000000003,9715
21092,NA,74.96000000000001,NA
21093,580.9386847953981,633944.1899999967,38245
21094,NA,17794.12,NA
21096,NA,100,NA
21099,NA,50,NA
21101,NA,1499.5600000000002,NA
21102,275.4297102050984,51923.16000000006,12043
21103,NA,11,NA
21104,698.2915906452148,99374.20000000011,6029
21105,Inf,267,0
21106,NA,1213.24,NA
21107,NA,35,NA
21108,345.0564381270903,220072.7800000001,19136
21109,NA,40.48,NA
21111,742.841100505334,93046.8800000003,5343
21112,NA,25,NA
21113,462.34024424879294,444059.96000000014,35210
21114,334.3915343915344,236144.47000000044,26460
21115,NA,108,NA
21116,NA,1380.24,NA
21117,386.37011212979564,657696.399999998,59663
21118,NA,123,NA
21120,383.1734317343173,77234.65999999997,6775
21121,NA,53,NA
21122,161.0518905872888,221055.7499999993,59664
21123,NA,1086.37,NA
21124,NA,240,NA
21127,NA,283,NA
21128,136.60771819288323,49255.929999999986,13967
21130,67.3076923076923,225,104
21131,378.6740477131936,130327.89000000012,7587
21132,58.50727387729285,6295.84,3162
21133,265.39096411322373,146954.52000000025,32714
21134,NA,552,NA
21135,NA,100,NA
21136,334.32323055870967,323548.850000002,34347
21137,NA,20,NA
21139,NA,10016.789999999995,NA
21140,335.0595546349042,55152.62999999996,3862
21143,NA,210,NA
21144,328.4192825112108,222529.8500000001,35680
21145,NA,50,NA
21146,475.79069262502713,487095.9399999995,27634
21147,NA,344.63,NA
21149,NA,7.71,NA
21150,NA,748,NA
21152,335.76369414843896,80268.00000000007,5349
21153,3818.9655172413795,41921.91000000001,348
21154,87.83052419978351,14000.14,6467
21155,244.6043165467626,15340.34,2363
21156,107.8167115902965,1304.9999999999998,371
21157,224.4924316784626,202460.4400000002,38714
21158,209.06946517113562,99560.21000000004,20773
21160,108.98661567877629,5854.12,2615
21161,180.55071453468108,26816.29999999997,5738
21162,172.41379310344828,11934.46,4089
21163,729.475916388973,171400.08000000005,6602
21164,NA,100,NA
21171,NA,80,NA
21173,NA,1000,NA
21174,NA,228,NA
21176,NA,55,NA
21200,NA,110,NA
21201,378.8639215238964,366729.6200000009,17534
21202,280.9872029250457,382084.8500000009,21880
21203,NA,7428.41,NA
