zip,donations,total,population
20732,115.88149587178242,30932.33999999991,10295
20733,295.2741020793951,35883.32,2645
20735,31.88413629117242,22491.139999999927,37009
20736,87.77969018932875,36527.33999999994,8715
20737,9.92676255183976,5443.21,22666
20738,NA,132,NA
20740,37.60678372159001,56220.70999999998,31723
20741,NA,671.36,NA
20742,0.1535862386730149,1,6511
20743,4.722946292616203,4492.559999999999,38747
20744,43.117349556549144,35052.24999999999,54572
20745,37.523179289532045,53411.80999999974,27503
20746,5.303833914229429,2967.6399999999994,26396
20747,9.117875899630421,12687.24,41128
20748,16.864669421487605,14587.360000000004,38720
20749,NA,79.14999999999999,NA
20750,NA,102.06,NA
20751,340.7707910750507,10915.30000000001,1972
20753,NA,250.49,NA
20754,192.23021582733813,44534.28999999998,6950
20755,14.72663139329806,4977.139999999996,11340
20757,NA,153.85,NA
20758,277.77777777777777,4327.030000000003,486
20759,217.53865706418134,36052.18999999997,4721
20760,NA,30.82,NA
20762,14.475271411338962,14706.78,3316
20763,36.31713554987212,3276.5099999999993,1955
20764,132.68236645605975,12968.499999999998,3482
20765,984.9056603773585,6221.2599999999975,530
20768,NA,446.61,NA
20769,34.02462734931951,15896.250000000004,6172
20770,20.16096252337208,21328.50999999997,24602
20772,29.88960857308859,31955.939999999937,46471
20773,NA,1109.36,NA
20774,16.85134349890797,21914.559999999983,49907
20775,NA,80,NA
20776,667.6870748299319,65721.77000000003,2940
20777,85.07549361207897,20180.67,3444
20778,159.7560975609756,16143.259999999997,2460
20779,130.7531380753138,5277.000000000001,956
20781,13.787085514834207,10096.329999999998,11460
20782,221.2315922156977,26050.830000000293,32527
20783,11.569703622392975,9823.730000000003,45550
20784,12.474902076955992,17513.350000000002,30381
20785,16.591482529245354,38606.709999999955,39237
20791,NA,605.24,NA
20794,46.76810568530314,15510.410000000007,16956
20797,NA,328.5799999999999,NA
20810,NA,102.54999999999998,NA
20811,NA,255,NA
20812,46.43962848297214,2051.1,323
20813,NA,670.26,NA
20814,83.92953563714903,202639.16000000053,29632
20815,123.1072861395108,721210.8099999983,30908
20816,149.75091531120583,284897.07999999885,16661
20817,78.912171199286675,522987.4099999978,38131
20818,152.5096525096525,18863.17999999999,2072
20824,NA,10,NA
20825,NA,269.4,NA
20827,NA,2008.82,NA
20830,NA,467.1,NA
20832,132.2216541471664,114980.55000000096,25427
20833,124.32223082881487,30259.05999999992,7746
20837,528.79751998694735,57977.12000000006,6129
20838,63.6604774535809,941.08,377
20839,129.49640287769785,512.8499999999999,139
20841,63.63325350667123,21229.879999999983,11692
20842,92.706203135651,10108.009999999997,1467
20849,NA,737.24,NA
20850,109.97346885392922,203583.64000000097,53522
20851,49.52131689510297,18287.63,14519
20852,92.52608897714309,157263.340000001,47338
20853,83.33862265947319,124813.38000000051,31510
20854,246.58508821855435,944799.1799999998,49196
20855,175.18019429645878,92437.87000000042,15955
20857,NA,50,NA
20859,NA,20682.46999999992,NA
20860,101.03806228373702,14416.610000000002,2890
20861,127.54342431761786,11465.850000000008,2015
20862,194.98607242339833,3784.6399999999976,359
20866,71.81571815718158,25807.389999999996,16974
20868,226.34508348794063,2218.01,539
20871,243.236116238595,80923.96000000063,18961
20872,137.21657544956997,39932.7499999999,12790
20874,75.1435494042285,132768.29000000193,60258
20875,NA,4183.309999999999,NA
20876,104.75349336024982,59598.96000000026,31703
20877,118.10899125118583,135030.5500000012,37948
20878,106.39234931420661,261582.07000000097,63576
20879,54.01814523782409,46258.66000000008,26343
20880,4866.037735849057,3529.360000000013,530
20882,143.82660480576138,55039.370000000104,14441
20883,NA,379.61,NA
20884,NA,1,NA
20885,NA,173.35,NA
20886,76.41815002723078,44448.79999999998,34887
20888,NA,227.00000000000003,NA
20889,NA,2,NA
20895,96.19651347068147,84943.84000000029,18930
20896,68.18181818181817,6205.740000000002,792
20901,37.30775501331449,39357.02999999992,36802
20902,50.519411586290566,111594.10000000116,52752
20903,21.780267893584654,24608.239999999972,26951
20904,67.15482669722142,162519.77000000112,55856
20905,76.00860677783756,51927.54000000004,18590
20906,74.23233628142701,113328.51000000157,70441
20907,NA,632.9200000000002,NA
20908,NA,20.24,NA
20910,113.7460266642274,124519.65000000046,43729
20912,13.65554582371208,14698.359999999995,25118
20913,NA,52.05,NA
